datasetid;recordid;record_timestamp;titre;commune;auteur;code_insee;nombre_de_prets_2017
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;442fa1bc6058e1d7dcb2e0c89072a00ead9a0c70;2018-07-11T14:46:04+02:00;Extrêmement fort et incroyablement près;Cesson-Sévigné;Daldry Stephen;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;d43915879576c4a45d23545b41be4b5a5632aba4;2018-07-11T14:46:04+02:00;Le Scaphandre et le papillon;Cesson-Sévigné;Schnabel Julian;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;6b477ac76f7c108e08122c2072a84f83a75462d5;2018-07-11T14:46:04+02:00;Ascenseur pour l'échafaud;Cesson-Sévigné;Malle Louis;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;5472bc57a33afa390a4c601b6eb5c98dfd9d8096;2018-07-11T14:46:04+02:00;Les Secrets des autres;Cesson-Sévigné;Wang Patrick;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;ced358238d9e79c8a0a798f99a69bf9b0a4af42e;2018-07-11T14:46:04+02:00;L' Homme de sa vie;Cesson-Sévigné;Breitman Zabou;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;6967b04e494fd622c56515abedaa8b40173f9d30;2018-07-11T14:46:04+02:00;Prête-moi ta main;Cesson-Sévigné;Lartigau Eric;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;9d67d1bb9e580f079858e7f67d2579e42995d164;2018-07-11T14:46:04+02:00;Chat, un chat (Un);Cesson-Sévigné;Fillières Sophie;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;61944556991aaf3de178af55224720280bae17e7;2018-07-11T14:46:04+02:00;Flic ou voyou;Cesson-Sévigné;Lautner Georges;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;1881fa950687e17d579ca8d768a1e97e3745a1bd;2018-07-11T14:46:04+02:00;Le Prestige;Cesson-Sévigné;Nolan Christopher;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;85f5fcaecef212cb4c5d516cb0b1c207cfd878d1;2018-07-11T14:46:04+02:00;Juno;Cesson-Sévigné;Reitman Jason;35051.0;5.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;fb57476aab3a191910194d0b7320a8a2e856289c;2018-07-11T14:46:04+02:00;Je suis heureux que ma mère soit vivante;Cesson-Sévigné;Miller Claude;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;af57ba5be60d00647586b8d11597e770dc2fe920;2018-07-11T14:46:04+02:00;Mon frère est fils unique;Cesson-Sévigné;Luchetti Daniele;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;37eccba7a69d0c2ca06bd7b5c71174cfbf355170;2018-07-11T14:46:04+02:00;Le vélo de Ghislain Lambert;Cesson-Sévigné;Harel Philippe;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;2684e0ded04f30a4ec88bc59ad6012d7ad1e9dd3;2018-07-11T14:46:04+02:00;Les Poings contre les murs;Cesson-Sévigné;Mackenzie David;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;9a1e23e6502bc70a5f4d3adce6ef765243f4482e;2018-07-11T14:46:04+02:00;La fille coupée en deux;Cesson-Sévigné;Chabrol Claude;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;c91a7d80fed3b5247d18f9d5641cadb688d63d8c;2018-07-11T14:46:04+02:00;Contes Italiens;Cesson-Sévigné;Taviani Vittorio;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;508f21975389e3062b59e3e4610158883c192735;2018-07-11T14:46:04+02:00;Respiro;Cesson-Sévigné;Crialese Emanuele;35051.0;4.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;937f10355b1e273e5007aff434f3ee0502dbe53c;2018-07-11T14:46:04+02:00;Helen;Cesson-Sévigné;Nettelbeck Sandra;35051.0;4.0
