Commune;Code INSEE;Année;Sexe;Prénom;Nombre
Cesson-Sévigné;35051.0;2016;M;Raphaël;1.0
Cesson-Sévigné;35051.0;2016;M;Rémy;1.0
Cesson-Sévigné;35051.0;2015;F;Louise;2.0
Cesson-Sévigné;35051.0;2015;F;Agathe;1.0
Cesson-Sévigné;35051.0;2015;F;Alwena;1.0
Cesson-Sévigné;35051.0;2015;F;Appoline;1.0
Cesson-Sévigné;35051.0;2015;F;Clarence;1.0
Cesson-Sévigné;35051.0;2015;F;Elena;1.0
Cesson-Sévigné;35051.0;2015;F;Eva;1.0
Cesson-Sévigné;35051.0;2015;F;Jeanne;1.0
Cesson-Sévigné;35051.0;2015;F;Juliette;1.0
Cesson-Sévigné;35051.0;2015;F;Kamilya;1.0
Cesson-Sévigné;35051.0;2015;F;Maëlla;1.0
Cesson-Sévigné;35051.0;2015;F;Maëlys;1.0
Cesson-Sévigné;35051.0;2015;F;Maïwenn;1.0
Cesson-Sévigné;35051.0;2015;F;Pia;1.0
Cesson-Sévigné;35051.0;2015;F;Priscille;1.0
Cesson-Sévigné;35051.0;2015;F;Zoé;1.0
Cesson-Sévigné;35051.0;2015;M;Axel;1.0
Cesson-Sévigné;35051.0;2015;M;Ilyès Marouane;1.0
Cesson-Sévigné;35051.0;2015;M;Liham;1.0
Cesson-Sévigné;35051.0;2015;M;Lorenzo;1.0
Cesson-Sévigné;35051.0;2015;M;Maxence;1.0
Cesson-Sévigné;35051.0;2015;M;Noah;1.0
Cesson-Sévigné;35051.0;2015;M;Pierre-Marie;1.0
Cesson-Sévigné;35051.0;2015;M;Ridvan;1.0
Cesson-Sévigné;35051.0;2014;F;Camille;2.0
Cesson-Sévigné;35051.0;2014;M;Daniil;2.0
Cesson-Sévigné;35051.0;2014;F;Alayna;1.0
Cesson-Sévigné;35051.0;2014;F;Aya;1.0
Cesson-Sévigné;35051.0;2014;F;Celina;1.0
Cesson-Sévigné;35051.0;2014;F;Clémence;1.0
Cesson-Sévigné;35051.0;2014;F;Hettie;1.0
Cesson-Sévigné;35051.0;2014;F;Manon;1.0
Cesson-Sévigné;35051.0;2014;F;Neela;1.0
Cesson-Sévigné;35051.0;2014;F;Paloma;1.0
Cesson-Sévigné;35051.0;2014;F;Saxa;1.0
Cesson-Sévigné;35051.0;2014;F;Sophia;1.0
Cesson-Sévigné;35051.0;2014;F;Valentina;1.0
Cesson-Sévigné;35051.0;2014;M;Albin;1.0
Cesson-Sévigné;35051.0;2014;M;Clément;1.0
Cesson-Sévigné;35051.0;2014;M;Ezéquièl;1.0
Cesson-Sévigné;35051.0;2017;M;Arthur;2.0
Cesson-Sévigné;35051.0;2017;M;Ewen;2.0
Cesson-Sévigné;35051.0;2017;F;Eléa;1.0
Cesson-Sévigné;35051.0;2017;F;Emy;1.0
Cesson-Sévigné;35051.0;2017;F;Inika;1.0
Cesson-Sévigné;35051.0;2017;F;Kristen;1.0
Cesson-Sévigné;35051.0;2017;F;Lilas-Rose;1.0
Cesson-Sévigné;35051.0;2017;F;Lily;1.0
Cesson-Sévigné;35051.0;2017;F;Mathilde;1.0
Cesson-Sévigné;35051.0;2017;F;Raphaëlle;1.0
Cesson-Sévigné;35051.0;2017;F;Talya;1.0
Cesson-Sévigné;35051.0;2017;M;Alexandre;1.0
Cesson-Sévigné;35051.0;2017;M;Baptiste;1.0
Cesson-Sévigné;35051.0;2017;M;Camille;1.0
Cesson-Sévigné;35051.0;2017;M;Édouard;1.0
Cesson-Sévigné;35051.0;2017;M;Elio;1.0
Cesson-Sévigné;35051.0;2017;M;Karim;1.0
Cesson-Sévigné;35051.0;2017;M;Mouhammed;1.0
Cesson-Sévigné;35051.0;2017;M;Thomas;1.0
Cesson-Sévigné;35051.0;2017;M;Ulysse;1.0
Cesson-Sévigné;35051.0;2016;F;Jade;3.0
Cesson-Sévigné;35051.0;2016;F;Eléna;2.0
Cesson-Sévigné;35051.0;2016;F;Olivia;2.0
Cesson-Sévigné;35051.0;2016;M;Arthur;2.0
Cesson-Sévigné;35051.0;2016;M;Elias;2.0
Cesson-Sévigné;35051.0;2016;F;Aïcha;1.0
Cesson-Sévigné;35051.0;2016;F;Giulia;1.0
Cesson-Sévigné;35051.0;2016;F;Héléna;1.0
Cesson-Sévigné;35051.0;2016;F;Louise;1.0
Cesson-Sévigné;35051.0;2016;M;Alexandre;1.0
Cesson-Sévigné;35051.0;2016;M;Efflam;1.0
Cesson-Sévigné;35051.0;2016;M;Iwan;1.0
Cesson-Sévigné;35051.0;2016;M;Johann;1.0
Cesson-Sévigné;35051.0;2016;M;Léonard;1.0
Cesson-Sévigné;35051.0;2016;M;Milo;1.0
Cesson-Sévigné;35051.0;2016;M;Nyl;1.0
Cesson-Sévigné;35051.0;2016;M;Owen;1.0
Cesson-Sévigné;35051.0;2016;M;Pacôme;1.0
Cesson-Sévigné;35051.0;2016;M;Pierre;1.0
Cesson-Sévigné;35051.0;2016;M;Timéo;1.0
Cesson-Sévigné;35051.0;2015;F;Pauline;2.0
Cesson-Sévigné;35051.0;2015;M;Alexandre;2.0
Cesson-Sévigné;35051.0;2015;F;Aglaïa;1.0
Cesson-Sévigné;35051.0;2015;F;Ambre;1.0
Cesson-Sévigné;35051.0;2015;F;Giulia;1.0
Cesson-Sévigné;35051.0;2015;M;Albin;1.0
Cesson-Sévigné;35051.0;2015;M;Arthur;1.0
Cesson-Sévigné;35051.0;2015;M;Louka;1.0
Cesson-Sévigné;35051.0;2015;M;Mylan;1.0
Cesson-Sévigné;35051.0;2015;M;Nicola;1.0
Cesson-Sévigné;35051.0;2015;M;Nolan;1.0
Cesson-Sévigné;35051.0;2015;M;Samuel;1.0
Cesson-Sévigné;35051.0;2015;M;Timéo;1.0
Cesson-Sévigné;35051.0;2015;M;Titouan;1.0
Cesson-Sévigné;35051.0;2015;M;Yann;1.0
Cesson-Sévigné;35051.0;2014;F;Lucile;1.0
Cesson-Sévigné;35051.0;2014;F;Marina;1.0
Cesson-Sévigné;35051.0;2014;F;Mila;1.0
Cesson-Sévigné;35051.0;2014;F;Rose;1.0
Cesson-Sévigné;35051.0;2014;M;Achille;1.0
Cesson-Sévigné;35051.0;2013;M;Noah;3.0
Cesson-Sévigné;35051.0;2013;F;Ambre;1.0
Cesson-Sévigné;35051.0;2013;F;Anaïs;1.0
Cesson-Sévigné;35051.0;2013;F;Apolline;1.0
Cesson-Sévigné;35051.0;2013;F;Charline;1.0
Cesson-Sévigné;35051.0;2013;F;Clara;1.0
Cesson-Sévigné;35051.0;2013;F;Ilona;1.0
Cesson-Sévigné;35051.0;2013;F;Ines;1.0
Cesson-Sévigné;35051.0;2013;F;Julia;1.0
Cesson-Sévigné;35051.0;2013;F;Lisa;1.0
Cesson-Sévigné;35051.0;2013;F;Nina;1.0
Cesson-Sévigné;35051.0;2013;F;Nora;1.0
Cesson-Sévigné;35051.0;2013;F;Sterenn;1.0
Cesson-Sévigné;35051.0;2013;F;Ulzijargal;1.0
Cesson-Sévigné;35051.0;2013;M;Adrien;1.0
Cesson-Sévigné;35051.0;2013;M;Akhil;1.0
Cesson-Sévigné;35051.0;2013;M;Aloan;1.0
Cesson-Sévigné;35051.0;2013;M;Antoine;1.0
Cesson-Sévigné;35051.0;2013;M;Arthur;1.0
Cesson-Sévigné;35051.0;2013;M;Ilyan;1.0
Cesson-Sévigné;35051.0;2013;M;Kelig;1.0
Cesson-Sévigné;35051.0;2013;M;Louka;1.0
Cesson-Sévigné;35051.0;2013;M;Marius;1.0
Cesson-Sévigné;35051.0;2013;M;Michal;1.0
Cesson-Sévigné;35051.0;2013;M;Robin;1.0
Cesson-Sévigné;35051.0;2013;M;Thibault;1.0
Cesson-Sévigné;35051.0;2013;M;Yacine;1.0
Cesson-Sévigné;35051.0;2012;M;Simon;2.0
Cesson-Sévigné;35051.0;2012;M;Tom;2.0
Cesson-Sévigné;35051.0;2012;M;Valentin;2.0
Cesson-Sévigné;35051.0;2012;M;Yanis;2.0
Cesson-Sévigné;35051.0;2012;F;Célestine;1.0
Cesson-Sévigné;35051.0;2012;F;Chloé;1.0
Cesson-Sévigné;35051.0;2012;F;Ella;1.0
Cesson-Sévigné;35051.0;2012;F;Lily;1.0
Cesson-Sévigné;35051.0;2012;F;Maïann;1.0
Cesson-Sévigné;35051.0;2012;F;Mila;1.0
Cesson-Sévigné;35051.0;2012;F;Noémie;1.0
Cesson-Sévigné;35051.0;2012;F;Sacha;1.0
Cesson-Sévigné;35051.0;2012;F;Sarah;1.0
Cesson-Sévigné;35051.0;2013;F;Lou;1.0
Cesson-Sévigné;35051.0;2013;F;Mathilde;1.0
Cesson-Sévigné;35051.0;2013;F;Sarah;1.0
Cesson-Sévigné;35051.0;2013;F;Tesnime;1.0
Cesson-Sévigné;35051.0;2013;M;Anatole;1.0
Cesson-Sévigné;35051.0;2013;M;Benjamin;1.0
Cesson-Sévigné;35051.0;2013;M;Eden;1.0
Cesson-Sévigné;35051.0;2013;M;Farhes;1.0
Cesson-Sévigné;35051.0;2011;M;Célestin;1.0
Cesson-Sévigné;35051.0;2011;M;Charles;1.0
Cesson-Sévigné;35051.0;2011;M;Marin;1.0
Cesson-Sévigné;35051.0;2011;M;Mel;1.0
Cesson-Sévigné;35051.0;2011;M;Ryan;1.0
Cesson-Sévigné;35051.0;2017;F;Anna;2.0
Cesson-Sévigné;35051.0;2017;F;Emma;2.0
Cesson-Sévigné;35051.0;2017;M;Noam;2.0
Cesson-Sévigné;35051.0;2017;F;Abygaël;1.0
Cesson-Sévigné;35051.0;2017;F;Adaline;1.0
Cesson-Sévigné;35051.0;2017;F;Albane;1.0
Cesson-Sévigné;35051.0;2017;F;Eugénie;1.0
Cesson-Sévigné;35051.0;2017;F;Eva;1.0
Cesson-Sévigné;35051.0;2017;F;Iris;1.0
Cesson-Sévigné;35051.0;2017;F;Jûna;1.0
Cesson-Sévigné;35051.0;2017;F;Léa;1.0
Cesson-Sévigné;35051.0;2017;F;Malicia;1.0
Cesson-Sévigné;35051.0;2017;F;Nada Ibtissam;1.0
Cesson-Sévigné;35051.0;2017;F;Rose;1.0
Cesson-Sévigné;35051.0;2017;F;Tayna;1.0
Cesson-Sévigné;35051.0;2017;M;Armel;1.0
Cesson-Sévigné;35051.0;2017;M;Élouan;1.0
Cesson-Sévigné;35051.0;2017;M;Elouen;1.0
Cesson-Sévigné;35051.0;2017;M;Lucas;1.0
Cesson-Sévigné;35051.0;2017;M;Maho;1.0
Cesson-Sévigné;35051.0;2017;M;Nahil;1.0
Cesson-Sévigné;35051.0;2017;M;Pavel;1.0
Cesson-Sévigné;35051.0;2017;M;William;1.0
Cesson-Sévigné;35051.0;2016;M;Louis;3.0
Cesson-Sévigné;35051.0;2016;F;Jeanne;2.0
Cesson-Sévigné;35051.0;2016;M;Axel;2.0
Cesson-Sévigné;35051.0;2016;M;Enzo;2.0
Cesson-Sévigné;35051.0;2016;M;Maxime;2.0
Cesson-Sévigné;35051.0;2016;M;Timothé;2.0
Cesson-Sévigné;35051.0;2016;F;Calie;1.0
Cesson-Sévigné;35051.0;2016;F;Céleste;1.0
Cesson-Sévigné;35051.0;2016;F;Julie;1.0
Cesson-Sévigné;35051.0;2016;F;Margaux;1.0
Cesson-Sévigné;35051.0;2016;F;Margot;1.0
Cesson-Sévigné;35051.0;2016;F;Nesrine;1.0
Cesson-Sévigné;35051.0;2016;F;Ranya;1.0
Cesson-Sévigné;35051.0;2016;F;Sarah;1.0
Cesson-Sévigné;35051.0;2016;F;Stella;1.0
Cesson-Sévigné;35051.0;2016;M;Ali;1.0
Cesson-Sévigné;35051.0;2016;M;Florian;1.0
Cesson-Sévigné;35051.0;2016;M;Guillian;1.0
Cesson-Sévigné;35051.0;2016;M;Ilyès;1.0
Cesson-Sévigné;35051.0;2016;M;Marceau;1.0
Cesson-Sévigné;35051.0;2016;M;Timurhan;1.0
Cesson-Sévigné;35051.0;2016;M;Warenn;1.0
Cesson-Sévigné;35051.0;2015;M;Raphaël;3.0
Cesson-Sévigné;35051.0;2015;M;Jules;2.0
Cesson-Sévigné;35051.0;2015;M;Paul;2.0
Cesson-Sévigné;35051.0;2015;F;Ambar;1.0
Cesson-Sévigné;35051.0;2015;F;Anya;1.0
Cesson-Sévigné;35051.0;2015;F;Camille;1.0
Cesson-Sévigné;35051.0;2015;F;Chloé;1.0
